"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00632047","Early Detection of Breast Cancer and Cervical Cancer in Women in India",,"Unknown status","No Results Available","Breast Cancer|Cervical Cancer","Other: active surveillance|Other: educational intervention|Procedure: examination|Procedure: long-term screening","Effectiveness of well planned health education programs and low-cost screening methods (e.g., clinical breast exam and visual inspection of the cervix) in reducing the incidence of and mortality due to breast and cervical cancer","Tata Memorial Hospital|National Cancer Institute (NCI)","Female","35 Years to 64 Years   (Adult)","Phase 2","151538","Other|NIH","Interventional","Allocation: Randomized|Primary Purpose: Screening","CDR0000586791|TATA-1900215717A1","May 1998","December 2015",,"March 10, 2008",,"August 26, 2013","Tata Memorial Hospital, Mumbai, India",,"https://ClinicalTrials.gov/show/NCT00632047"
2,"NCT04075058","Hypofractionated Radiation Therapy in Patients With Breast Cancer","HRBC","Completed","No Results Available","Breast Cancer","Radiation: Hypofractionated Radiation therapy","Local Recurrence|Acute skin toxicity|Cosmetic assessment|Quality of life|Disease free survival|Overall survival|Arm edema|Late effects- pain, shoulder stiffness|Late effects- Brachial plexopathy|Late effects- Lung, cardiac","Postgraduate Institute of Medical Education and Research","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","1070","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HRBC","June 2015","December 2020","December 2020","August 30, 2019",,"June 23, 2021","Dr Budhi Singh Yadav, Chandigarh, N/A = Not Applicable, India",,"https://ClinicalTrials.gov/show/NCT04075058"
3,"NCT02460744","2-weeks of Adjuvant Radiotherapy in Patients With Breast Cancer",,"Completed","No Results Available","Breast Cancer","Radiation: Hypofractionation","acute skin and subcutaneous toxicity assessed using a RTOG grading system|Cosmetic score analysis using Harvard/NSABP/RTOG Breast Cosmesis Grading Scale","Postgraduate Institute of Medical Education and Research","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BHRT","June 2013","October 2014","October 2014","June 2, 2015",,"June 2, 2015","Dr Budhi Singh Yadav, Chandigarh, N/A = Not Applicable, India",,"https://ClinicalTrials.gov/show/NCT02460744"
4,"NCT03997110","Palliative Radiation for Advanced Cervical Cancer","RAPPAL","Recruiting","No Results Available","Cervical Cancer","Radiation: Short course palliative radiation.|Radiation: Long course palliative treatment.","Pain Relief (Numerical pain rating scale will be used)|Presence or absence of vaginal bleeding and/or discharge and relief in vaginal bleeding (as reported by the patient)|Change in use of analgesics (WHO ladder)|Compliance to therapy|Quality of Life using EORTC QLQC30 questionnaires|Quality of Life using EORTC QLQC-15 Pall questionnaires|Quality of Life using Cx-24 questionnaires|Acute gastrointestinal and genitourinary toxicities|Late gastrointestinal and genitourinary toxicities|Overall survival, defined as time from randomization until death due to any cause.|Patterns of terminal event (Due to local relapse or Distant Metastasis)","Tata Memorial Hospital|Tata Memorial Centre","Female","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","230","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH IRB 3157","June 19, 2020","August 1, 2024","February 1, 2025","June 25, 2019",,"May 2, 2022","Tata Memorial Hospital, Mumbai, Maharastra, India",,"https://ClinicalTrials.gov/show/NCT03997110"
5,"NCT00808379","Concurrent Chemo-Radiotherapy Versus Radiotherapy With Boost in Locally Advanced Unresectable Rectal Cancers",,"Unknown status","No Results Available","Rectal Cancer","Drug: Chemoradiation|Radiation: Additional Radiation boost to the primary tumor volume","Comparison of resectability rate of in the two groups at 6-8 weeks following radiotherapy.|Side effects and other adverse effects in the two groups during radiotherapy and up to 2 years post radiotherapy.|Comparison of pathological downstaging between the two groups who undergo surgery.","Tata Memorial Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","260","May 2006","February 2009","July 2009","December 15, 2008",,"December 15, 2008","Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00808379"
6,"NCT02783235","Cervical Cancer Screening : Video Based Tutorials for ANMs/ASHAs/PHWs",,"Unknown status","No Results Available","Cervical Cancer","Other: cervical cancer screening","Improvement in the Post training knowledge about cancer|Satisfaction to the video based tutorials","Tata Memorial Hospital","Female","18 Years to 45 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","TMH1605 Video Based Tutorials","January 29, 2018","September 2018","September 2018","May 26, 2016",,"August 6, 2018","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02783235"
7,"NCT04688086","A Prospective Study to Evaluate Clinical Performance of Thermalytix in Detecting Breast Cancers",,"Completed","No Results Available","Breast Cancer|Early Detection of Cancer","Diagnostic Test: Thermalytix","Sensitivity, specificity, positive predictive value and negative predictive value of Thermalytix|Sensitivity and specificity of Thermalytix for different patient characteristics","Niramai Health Analytix Private Limited|Max Healthcare Insititute Limited","Female","18 Years to 80 Years   (Adult, Older Adult)",,"459","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","NIR-THERMA-02","December 15, 2018","January 6, 2020","January 30, 2020","December 29, 2020",,"September 28, 2021","Max Healthcare Insititute Limited, New Delhi, India",,"https://ClinicalTrials.gov/show/NCT04688086"
8,"NCT01276730","Advanced Cervical Cancer Trial in India",,"Completed","No Results Available","Cervical Cancer","Drug: Interferon, Retinoic Acid and radiation|Drug: Cisplatin and radiation","Survival|Response rate|Overall toxicity|Determine immune response to Human Papillomavirus HPV","University of Louisville|James Graham Brown Cancer Center","Female","18 Years and older   (Adult, Older Adult)","Phase 2","209","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","464.05","October 2007","August 2015","August 2015","January 13, 2011",,"December 29, 2017","Chittaranjan National Cancer Institute, Kolkata, India",,"https://ClinicalTrials.gov/show/NCT01276730"
9,"NCT03110497","Single Application Brachytherapy in Cervical Cancer",,"Unknown status","No Results Available","Cervical Cancer","Radiation: Single application multi-fraction brachytherapy","Number of participants achieving specified dosimetric constraints|Number of participants with adverse events as assessed by CTCAE v 4.0|Local control rate|Percentage Inter-fraction dose variation","Tata Memorial Hospital","Female","Child, Adult, Older Adult","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH-1759|REF/2017/03/013733","September 17, 2017","April 17, 2019","April 17, 2020","April 12, 2017",,"November 7, 2018","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03110497"
10,"NCT00447746","A Comparison Between D1 and D2 Lymphadenectomy in Gastric Cancer : A Prospective Randomized Controlled Trial",,"Unknown status","No Results Available","Gastric Cancer","Procedure: D1 or D2 lymphadenectomy for gastric cancer patients","5 year overall survival|: 5 year disease free survival|: 5 year local recurrence|: Postoperative morbidity and mortality rates","Tata Memorial Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH 262","March 2007",,"March 2014","March 15, 2007",,"March 15, 2007","Tata Memorial Hospital,Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00447746"
