Local time,open,high,low,close,volume
05.05.2003 00:00:00.000 GMT+0300,1.12354,1.13019,1.1203,1.12804,1053162.797
06.05.2003 00:00:00.000 GMT+0300,1.12798,1.1451,1.12738,1.14368,1061122.699
07.05.2003 00:00:00.000 GMT+0300,1.14367,1.14448,1.13275,1.13677,1056796.59
08.05.2003 00:00:00.000 GMT+0300,1.13675,1.15092,1.13026,1.15026,1058908.699
09.05.2003 00:00:00.000 GMT+0300,1.15002,1.15376,1.14362,1.14907,1063989
12.05.2003 00:00:00.000 GMT+0300,1.14958,1.16244,1.14946,1.15457,1056515.797
13.05.2003 00:00:00.000 GMT+0300,1.15427,1.15751,1.1463,1.1515,1057731.395
14.05.2003 00:00:00.000 GMT+0300,1.1519,1.15388,1.14681,1.1497,1053901.311
15.05.2003 00:00:00.000 GMT+0300,1.14983,1.14988,1.13757,1.13877,1052095.189
16.05.2003 00:00:00.000 GMT+0300,1.13845,1.15786,1.13691,1.15735,1060083.697
19.05.2003 00:00:00.000 GMT+0300,1.16634,1.17363,1.16215,1.16596,1054386.59
20.05.2003 00:00:00.000 GMT+0300,1.1659,1.17156,1.16013,1.17069,1059785.311
21.05.2003 00:00:00.000 GMT+0300,1.17059,1.17453,1.16617,1.16746,1049814.809
22.05.2003 00:00:00.000 GMT+0300,1.16724,1.17276,1.16192,1.16938,1043186.297
23.05.2003 00:00:00.000 GMT+0300,1.16947,1.18373,1.16648,1.18266,1050209.193
26.05.2003 00:00:00.000 GMT+0300,1.1827,1.18754,1.17972,1.1869,1052746.002
27.05.2003 00:00:00.000 GMT+0300,1.1867,1.193,1.18176,1.18288,1057688.898
28.05.2003 00:00:00.000 GMT+0300,1.18261,1.18453,1.17047,1.17649,1060247.691
29.05.2003 00:00:00.000 GMT+0300,1.17657,1.19008,1.16917,1.18833,1045905
30.05.2003 00:00:00.000 GMT+0300,1.18827,1.19158,1.17439,1.17691,1057263.291
01.06.2003 00:00:00.000 GMT+0300,1.17691,1.17825,1.17691,1.17825,0
02.06.2003 00:00:00.000 GMT+0300,1.17149,1.17672,1.16524,1.17473,965518.3009
03.06.2003 00:00:00.000 GMT+0300,1.17496,1.17783,1.16875,1.17391,1051858.604
04.06.2003 00:00:00.000 GMT+0300,1.17365,1.17473,1.16619,1.16645,1061048.51
05.06.2003 00:00:00.000 GMT+0300,1.16635,1.1886,1.16287,1.18405,1051561.504
06.06.2003 00:00:00.000 GMT+0300,1.18389,1.18785,1.16843,1.17001,1057574.795
09.06.2003 00:00:00.000 GMT+0300,1.1694,1.17859,1.16564,1.17161,1062323.201
10.06.2003 00:00:00.000 GMT+0300,1.17146,1.17415,1.16704,1.16759,1055061.299
11.06.2003 00:00:00.000 GMT+0300,1.16746,1.1782,1.16581,1.17421,1069002.992
12.06.2003 00:00:00.000 GMT+0300,1.17429,1.18058,1.17036,1.17638,1066536.096
13.06.2003 00:00:00.000 GMT+0300,1.17652,1.18774,1.17354,1.1863,1051470.307
16.06.2003 00:00:00.000 GMT+0300,1.18694,1.19278,1.18208,1.18356,1056294.303
17.06.2003 00:00:00.000 GMT+0300,1.18386,1.18662,1.17684,1.17937,1064582.492
18.06.2003 00:00:00.000 GMT+0300,1.17914,1.18039,1.16611,1.16883,1056767.197
19.06.2003 00:00:00.000 GMT+0300,1.1684,1.17387,1.15836,1.17203,1060791.811
20.06.2003 00:00:00.000 GMT+0300,1.172,1.17347,1.15511,1.1604,1059167.799
23.06.2003 00:00:00.000 GMT+0300,1.16025,1.16033,1.15081,1.15429,1060170.203
24.06.2003 00:00:00.000 GMT+0300,1.15444,1.15811,1.14766,1.15171,1055347.5
25.06.2003 00:00:00.000 GMT+0300,1.15188,1.16215,1.14913,1.15398,1054439.697
26.06.2003 00:00:00.000 GMT+0300,1.15449,1.15523,1.1414,1.14181,1053059.793
27.06.2003 00:00:00.000 GMT+0300,1.14215,1.14675,1.13994,1.14254,1054817.402
30.06.2003 00:00:00.000 GMT+0300,1.14308,1.15141,1.13974,1.15116,1048064.107
01.07.2003 00:00:00.000 GMT+0300,1.15154,1.16079,1.15025,1.15608,1052732.996
02.07.2003 00:00:00.000 GMT+0300,1.15619,1.15684,1.15049,1.15396,1051775.5
03.07.2003 00:00:00.000 GMT+0300,1.15415,1.15443,1.14326,1.14945,1069768.395
04.07.2003 00:00:00.000 GMT+0300,1.14935,1.15019,1.14472,1.14892,1053783.504
07.07.2003 00:00:00.000 GMT+0300,1.1487,1.149,1.13132,1.13252,1058126.1
08.07.2003 00:00:00.000 GMT+0300,1.13247,1.13508,1.12587,1.13151,1063074.797
09.07.2003 00:00:00.000 GMT+0300,1.13177,1.13667,1.13047,1.13481,1055878.898
10.07.2003 00:00:00.000 GMT+0300,1.13479,1.13924,1.13098,1.13891,1067748.893
11.07.2003 00:00:00.000 GMT+0300,1.13877,1.13908,1.12759,1.1299,1058106.498
14.07.2003 00:00:00.000 GMT+0300,1.12934,1.1308,1.12426,1.12779,1046253.197
15.07.2003 00:00:00.000 GMT+0300,1.12777,1.13369,1.1156,1.11858,1051978.606
16.07.2003 00:00:00.000 GMT+0300,1.11845,1.12315,1.11123,1.12068,1059577.289
17.07.2003 00:00:00.000 GMT+0300,1.12119,1.12488,1.11562,1.12079,1062920.197
18.07.2003 00:00:00.000 GMT+0300,1.12045,1.13032,1.11717,1.12746,1057879.295
21.07.2003 00:00:00.000 GMT+0300,1.12685,1.13546,1.12411,1.13495,1060451.289
22.07.2003 00:00:00.000 GMT+0300,1.13461,1.13734,1.13058,1.13315,1038043.903
23.07.2003 00:00:00.000 GMT+0300,1.13267,1.14898,1.13139,1.14754,1067668.387
24.07.2003 00:00:00.000 GMT+0300,1.14835,1.15101,1.14233,1.14695,1054340.189
25.07.2003 00:00:00.000 GMT+0300,1.14749,1.15487,1.14439,1.15079,1056015.994
28.07.2003 00:00:00.000 GMT+0300,1.15084,1.15182,1.14515,1.14909,1055906.691
29.07.2003 00:00:00.000 GMT+0300,1.14947,1.1538,1.1451,1.14589,1053724.789
30.07.2003 00:00:00.000 GMT+0300,1.14572,1.1461,1.13352,1.13426,1058029.094
31.07.2003 00:00:00.000 GMT+0300,1.13437,1.13713,1.12237,1.12428,1063307.112
01.08.2003 00:00:00.000 GMT+0300,1.1242,1.12716,1.11348,1.12541,1004982.801
04.08.2003 00:00:00.000 GMT+0300,1.12843,1.13749,1.12581,1.1357,1054486.104
05.08.2003 00:00:00.000 GMT+0300,1.13613,1.13976,1.13064,1.13893,1056417.992
06.08.2003 00:00:00.000 GMT+0300,1.13867,1.14265,1.13254,1.13321,1061051.797
07.08.2003 00:00:00.000 GMT+0300,1.13315,1.1415,1.13183,1.13732,1050575.406
08.08.2003 00:00:00.000 GMT+0300,1.13716,1.13838,1.12866,1.13083,1059284.385
11.08.2003 00:00:00.000 GMT+0300,1.12898,1.13798,1.12628,1.13582,1035460.51
12.08.2003 00:00:00.000 GMT+0300,1.13588,1.13715,1.12758,1.1283,1107321.098
13.08.2003 00:00:00.000 GMT+0300,1.12837,1.13322,1.12189,1.1322,1116413.904
14.08.2003 00:00:00.000 GMT+0300,1.13233,1.13375,1.12244,1.12577,1101308.992
15.08.2003 00:00:00.000 GMT+0300,1.12635,1.12963,1.12403,1.12663,1080366.802
18.08.2003 00:00:00.000 GMT+0300,1.1249,1.1269,1.11233,1.11428,1097634.596
19.08.2003 00:00:00.000 GMT+0300,1.11485,1.11522,1.10545,1.11392,1106510.309
20.08.2003 00:00:00.000 GMT+0300,1.1138,1.11475,1.10793,1.11185,1114916.592
21.08.2003 00:00:00.000 GMT+0300,1.11193,1.11226,1.08846,1.09226,1113616.201
22.08.2003 00:00:00.000 GMT+0300,1.09203,1.09456,1.08363,1.08761,1123218.504
25.08.2003 00:00:00.000 GMT+0300,1.08566,1.09184,1.08453,1.08735,1109039.615
26.08.2003 00:00:00.000 GMT+0300,1.0874,1.09096,1.0793,1.08542,1116225.598
27.08.2003 00:00:00.000 GMT+0300,1.08544,1.09298,1.08313,1.0886,1119904.705
28.08.2003 00:00:00.000 GMT+0300,1.08856,1.09125,1.08097,1.08811,1117669.996
29.08.2003 00:00:00.000 GMT+0300,1.08843,1.09974,1.08688,1.09847,1116347.992
01.09.2003 00:00:00.000 GMT+0300,1.09943,1.10138,1.09517,1.09675,999536.7012
02.09.2003 00:00:00.000 GMT+0300,1.09668,1.09713,1.08029,1.08079,1102031.302
03.09.2003 00:00:00.000 GMT+0300,1.08117,1.08725,1.07616,1.08474,1130431.303
04.09.2003 00:00:00.000 GMT+0300,1.08495,1.09505,1.08064,1.0943,1116838.695
05.09.2003 00:00:00.000 GMT+0300,1.09444,1.11126,1.09159,1.11049,1103964.598
08.09.2003 00:00:00.000 GMT+0300,1.11043,1.11297,1.10461,1.10649,1124964.699
09.09.2003 00:00:00.000 GMT+0300,1.10695,1.12402,1.10524,1.12238,1126577.6
10.09.2003 00:00:00.000 GMT+0300,1.12239,1.12362,1.1162,1.12076,1119462.602
11.09.2003 00:00:00.000 GMT+0300,1.12102,1.12705,1.11547,1.12089,1108887.191
12.09.2003 00:00:00.000 GMT+0300,1.12094,1.13228,1.11346,1.12913,1123757.892
15.09.2003 00:00:00.000 GMT+0300,1.12745,1.13098,1.12411,1.12817,1106289.795
16.09.2003 00:00:00.000 GMT+0300,1.12841,1.1318,1.11538,1.11746,1119165.711
17.09.2003 00:00:00.000 GMT+0300,1.11782,1.12997,1.11382,1.12834,1114659.805
18.09.2003 00:00:00.000 GMT+0300,1.12843,1.13424,1.12264,1.12556,1119430.295
19.09.2003 00:00:00.000 GMT+0300,1.1257,1.13837,1.12382,1.13792,1113980.488
22.09.2003 00:00:00.000 GMT+0300,1.14343,1.15046,1.14134,1.14602,1119973.709
23.09.2003 00:00:00.000 GMT+0300,1.14588,1.15243,1.14358,1.14404,1125451.496
24.09.2003 00:00:00.000 GMT+0300,1.14445,1.15049,1.14273,1.14949,1116648.707
25.09.2003 00:00:00.000 GMT+0300,1.14951,1.15331,1.14578,1.14902,1124120.904
26.09.2003 00:00:00.000 GMT+0300,1.14896,1.14975,1.14404,1.14607,1117312.398
29.09.2003 00:00:00.000 GMT+0300,1.14558,1.16015,1.13941,1.15971,1120820.885
30.09.2003 00:00:00.000 GMT+0300,1.1601,1.17339,1.15705,1.16547,1131598.399
01.10.2003 00:00:00.000 GMT+0300,1.16585,1.17288,1.16424,1.17146,1119150.889
02.10.2003 00:00:00.000 GMT+0300,1.17193,1.17677,1.16612,1.16926,1120582.502
03.10.2003 00:00:00.000 GMT+0300,1.16943,1.17205,1.155,1.1581,1118614.898
06.10.2003 00:00:00.000 GMT+0300,1.15655,1.17237,1.15322,1.17079,1118039.703
07.10.2003 00:00:00.000 GMT+0300,1.17112,1.18115,1.16975,1.1759,1110572.102
08.10.2003 00:00:00.000 GMT+0300,1.17647,1.18396,1.17587,1.18092,1112320.893
