,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Cancer Type
0,1,NCT00632047,early detection of breast cancer and cervical cancer in women in india,,Unknown status,No Results Available,breast cancer|cervical cancer,other: active surveillance|other: educational intervention|procedure: examination|procedure: long-term screening,"effectiveness of well planned health education programs and low-cost screening methods (e.g., clinical breast exam and visual inspection of the cervix) in reducing the incidence of and mortality due to breast and cervical cancer",tata memorial hospital|national cancer institute (nci),Female,35 Years to 64 Years   (Adult),Phase 2,151538.0,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Screening,CDR0000586791|TATA-1900215717A1,May 1998,December 2015,,"March 10, 2008",,"August 26, 2013","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00632047,breast
1,2,NCT04075058,hypofractionated radiation therapy in patients with breast cancer,HRBC,Completed,No Results Available,breast cancer,radiation: hypofractionated radiation therapy,"local recurrence|acute skin toxicity|cosmetic assessment|quality of life|disease free survival|overall survival|arm edema|late effects- pain, shoulder stiffness|late effects- brachial plexopathy|late effects- lung, cardiac",postgraduate institute of medical education and research,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,1070.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HRBC,June 2015,December 2020,December 2020,"August 30, 2019",,"June 23, 2021","['dr budhi singh yadav, chandigarh , india']",,https://ClinicalTrials.gov/show/NCT04075058,breast
2,3,NCT02460744,2-weeks of adjuvant radiotherapy in patients with breast cancer,,Completed,No Results Available,breast cancer,radiation: hypofractionation,acute skin and subcutaneous toxicity assessed using a rtog grading system|cosmetic score analysis using harvard/nsabp/rtog breast cosmesis grading scale,postgraduate institute of medical education and research,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,50.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BHRT,June 2013,October 2014,October 2014,"June 2, 2015",,"June 2, 2015","['dr budhi singh yadav, chandigarh , india']",,https://ClinicalTrials.gov/show/NCT02460744,breast
3,4,NCT03997110,palliative radiation for advanced cervical cancer,RAPPAL,Recruiting,No Results Available,cervical cancer,radiation: short course palliative radiation.|radiation: long course palliative treatment.,"pain relief (numerical pain rating scale will be used)|presence or absence of vaginal bleeding and/or discharge and relief in vaginal bleeding (as reported by the patient)|change in use of analgesics (who ladder)|compliance to therapy|quality of life using eortc qlqc30 questionnaires|quality of life using eortc qlqc-15 pall questionnaires|quality of life using cx-24 questionnaires|acute gastrointestinal and genitourinary toxicities|late gastrointestinal and genitourinary toxicities|overall survival, defined as time from randomization until death due to any cause.|patterns of terminal event (due to local relapse or distant metastasis)",tata memorial hospital|tata memorial centre,Female,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,230.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH IRB 3157,"June 19, 2020","August 1, 2024","February 1, 2025","June 25, 2019",,"May 2, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03997110,cervic
4,5,NCT00808379,concurrent chemo-radiotherapy versus radiotherapy with boost in locally advanced unresectable rectal cancers,,Unknown status,No Results Available,rectal cancer,drug: chemoradiation|radiation: additional radiation boost to the primary tumor volume,comparison of resectability rate of in the two groups at 6-8 weeks following radiotherapy.|side effects and other adverse effects in the two groups during radiotherapy and up to 2 years post radiotherapy.|comparison of pathological downstaging between the two groups who undergo surgery.,tata memorial hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 2,90.0,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,260,May 2006,February 2009,July 2009,"December 15, 2008",,"December 15, 2008","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00808379,
5,6,NCT02783235,cervical cancer screening : video based tutorials for anms/ashas/phws,,Unknown status,No Results Available,cervical cancer,other: cervical cancer screening,improvement in the post training knowledge about cancer|satisfaction to the video based tutorials,tata memorial hospital,Female,18 Years to 45 Years   (Adult),Not Applicable,50.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,TMH1605 Video Based Tutorials,"January 29, 2018",September 2018,September 2018,"May 26, 2016",,"August 6, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02783235,cervic
6,7,NCT04688086,a prospective study to evaluate clinical performance of thermalytix in detecting breast cancers,,Completed,No Results Available,breast cancer|early detection of cancer,diagnostic test: thermalytix,"sensitivity, specificity, positive predictive value and negative predictive value of thermalytix|sensitivity and specificity of thermalytix for different patient characteristics",niramai health analytix private limited|max healthcare insititute limited,Female,"18 Years to 80 Years   (Adult, Older Adult)",,459.0,Industry|Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,NIR-THERMA-02,"December 15, 2018","January 6, 2020","January 30, 2020","December 29, 2020",,"September 28, 2021","['max healthcare insititute limited, new delhi, india']",,https://ClinicalTrials.gov/show/NCT04688086,breast
7,8,NCT01276730,advanced cervical cancer trial in india,,Completed,No Results Available,cervical cancer,"drug: interferon, retinoic acid and radiation|drug: cisplatin and radiation",survival|response rate|overall toxicity|determine immune response to human papillomavirus hpv,university of louisville|james graham brown cancer center,Female,"18 Years and older   (Adult, Older Adult)",Phase 2,209.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,464.05,October 2007,August 2015,August 2015,"January 13, 2011",,"December 29, 2017","['chittaranjan national cancer institute, kolkata, india']",,https://ClinicalTrials.gov/show/NCT01276730,cervic
8,9,NCT03110497,single application brachytherapy in cervical cancer,,Unknown status,No Results Available,cervical cancer,radiation: single application multi-fraction brachytherapy,number of participants achieving specified dosimetric constraints|number of participants with adverse events as assessed by ctcae v 4.0|local control rate|percentage inter-fraction dose variation,tata memorial hospital,Female,"Child, Adult, Older Adult",Not Applicable,40.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH-1759|REF/2017/03/013733,"September 17, 2017","April 17, 2019","April 17, 2020","April 12, 2017",,"November 7, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03110497,cervic
9,10,NCT00447746,a comparison between d1 and d2 lymphadenectomy in gastric cancer : a prospective randomized controlled trial,,Unknown status,No Results Available,gastric cancer,procedure: d1 or d2 lymphadenectomy for gastric cancer patients,5 year overall survival|: 5 year disease free survival|: 5 year local recurrence|: postoperative morbidity and mortality rates,tata memorial hospital,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,600.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH 262,March 2007,,March 2014,"March 15, 2007",,"March 15, 2007","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00447746,gastric
10,11,NCT03788213,one week versus three week in adjuvant radiotherapy in breast cancer,HYPORTAdjuvant,Recruiting,No Results Available,breast cancer female,radiation: 3 week rt|radiation: 1 week rt,locoregional recurrence rate (lrr)|overall survival (os )|invasive disease free survival ( idfs )|adverse event ( ae )|quality of life ( qol ),"tata medical center|christian medical college, vellore, india|sanjay gandhi postgraduate institute of medical sciences",Female,"18 Years and older   (Adult, Older Adult)",Not Applicable,2100.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2018/TMC/133/IRB/31,"March 26, 2019","March 26, 2029","March 26, 2029","December 27, 2018",,"December 17, 2021","['sanjoy chatterjee, kolkata, west bengal, india']",,https://ClinicalTrials.gov/show/NCT03788213,breast
11,12,NCT04588909,outcomes of elective colorectal cancer surgery during covid 19 pandemic: implications for cancer care policy,,"Active, not recruiting",No Results Available,colo-rectal cancer,procedure: colorectal resections,early post operative mortality|early post operative complications|incidence of sars cov2 infectivity among health care providers providing direct care to involved patients|rate of hospital acquired sars cov 2 infection among operated patients.,sheri kashmir institute of medical sciences,All,"Child, Adult, Older Adult",,100.0,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,73/2020 (Supl 2),"March 23, 2020","September 22, 2020","October 22, 2020","October 19, 2020",,"October 19, 2020","['sher i kashmir institute of medical sciences, srinagar, j&k, india']",,https://ClinicalTrials.gov/show/NCT04588909,
12,13,NCT05258747,"a crossover bioequivalence study of olaparib tablets, 150 mg (lek pharmaceuticals d.d.) and lynparza® (olaparib) tablets 150 mg (astrazeneca pharmaceuticals lp), in patients with brca mutated ovarian cancer, recurrent ovarian cancer or metastatic breast cancer",,Recruiting,No Results Available,ovarian cancer|breast cancer,"drug: olaparib tablets, 150 mg|drug: lynparza® (olaparib) tablets 150 mg",maximum plasma concentration during the dosing interval at steady state (cmaxss)|area under the plasma concentration versus time curve for one dosing interval at steady state (auc(0-t)ss)|number of adverse events and serious adverse events,sandoz,Female,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,70.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other,21-VIN-0166/SAN-0647,"April 7, 2022","February 15, 2023","February 15, 2023","February 28, 2022",,"April 19, 2022","['sandoz investigative site, vijayawada, andhra pradesh, india']",,https://ClinicalTrials.gov/show/NCT05258747,breast ovari
13,14,NCT03909620,utility of ldct in lung cancer screening in a tb endemic region,,Completed,No Results Available,lung cancer,diagnostic test: low-dose computed tomography of chest,positivity rate with ldct screening|rate of detection of lung cancer|false positive rate|proportion of patients requiring additional procedures (imaging/invasive procedures)|proportion of patients developing complications due to additional procedures|change in the 6-item spielberger state-trait anxiety inventory (stai-6) questionnaire score|cost in indian rupees to detect one case of lung cancer by ldct screening|proportion of patients who quit/re-initiated smoking after inclusion in study,postgraduate institute of medical education and research,All,"50 Years to 74 Years   (Adult, Older Adult)",Not Applicable,253.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening,NK/5292/DM/760,"May 1, 2019","March 31, 2020","December 31, 2021","April 10, 2019",,"March 29, 2022","['pgimer, chandigarh, india']",,https://ClinicalTrials.gov/show/NCT03909620,
14,15,NCT01769950,choline-pet for evaluating the incidence of nodal metastases among newly diagnosed patients of prostate cancer,ChoPEN,Unknown status,No Results Available,prostate cancer,other: choline-pet,detection of choline-pet detected nodal metastases|comparison of choline-pet and ct for the detection of nodal metastatic disease|comparison of choline-pet and mri for the detection of nodal metastatic disease,bangalore institute of oncology,Male,"Child, Adult, Older Adult",Not Applicable,120.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,Choline-Prostate-1,January 2013,January 2014,February 2014,"January 17, 2013",,"January 17, 2013","['healthcare global- bangalore institute of oncology, bengaluru, karnataka, india']",,https://ClinicalTrials.gov/show/NCT01769950,prostat
15,16,NCT03519165,restrictive or individualized goal-directed fluid replacement strategy in ovarian cancer cytoreductive surgery,RIGoROCS,Completed,No Results Available,ovarian cancer,device: ev1000(flotrac system 4.0),postoperative length of stay (los) in hospital in days|cost of treatment|post operative morbidity survey (poms survey)|30 day morbidity and mortality,tata medical center,Female,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,145.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",EC/TMC/56/15,June 2016,June 2019,September 2019,"May 8, 2018",,"January 31, 2020","['tata medical center, kolkata, west bengal, india']",,https://ClinicalTrials.gov/show/NCT03519165,ovari
16,17,NCT00128362,sentinel node biopsy and axillary sampling in operable breast cancer,,Terminated,No Results Available,cancer of the breast,procedure: radio-guided sentinel node biopsy|procedure: axillary sampling,comparison of methodologies in predicting status of axillary lymph nodes|number of lymph nodes identified by sentinel node biopsy and axillary sampling|number of times the sentinel node is found within the sampled nodes|false negative rate by each method|negative predictive value for each method,tata memorial hospital|indian council of medical research,Female,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,478.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,TMH/115/2003|No.5/13/66/2003-NCD-III,September 2005,December 2011,,"August 9, 2005",,"June 24, 2014","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00128362,breast
17,18,NCT01133067,telephonic contact and subsequent physical follow up treated lung cancer patients,TELE001,Completed,Has Results,lung cancer,,concurrence between the telephonic interview and the physician assessment|cost analysis,tata memorial hospital,All,"18 Years to 90 Years   (Adult, Older Adult)",,200.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PROJECT NO 754,July 2010,July 2016,July 2016,"May 28, 2010","August 7, 2018","August 7, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01133067,
18,19,NCT03005743,image based brachytherapy in locally advanced cervical cancers - a randomized controlled trial,COMBAT-Cx,Recruiting,No Results Available,cervical cancer,radiation: magnetic resonance image based brachytherapy|radiation: conventional radiograph based brachytherapy,local control|late toxicities|pelvic control rates|distant failure rates|progression free & cause specific survival|overall survival|quality of life questionnaire eortc qlq c30|quality life questionnaire eortc qlq cx24,tata memorial hospital,Female,"Child, Adult, Older Adult",Not Applicable,1050.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH-1587,December 2016,December 2021,December 2023,"December 29, 2016",,"January 23, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03005743,cervic
19,20,NCT00193726,estrogen priming to increase the efficacy of adjuvant chemotherapy in operable breast cancer,,Terminated,No Results Available,breast cancer,drug: tab premarin (ethinyl estradiol)|drug: placebo,disease free survival|overall survival,sudeep gupta|tata memorial hospital,Female,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,273.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",122 of 2003,July 2005,"March 30, 2012","March 30, 2012","September 19, 2005",,"September 20, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00193726,breast
20,21,NCT00193778,assessing impact of loco-regional treatment on survival in metastatic breast cancer at presentation,,Completed,No Results Available,cancer of the breast,procedure: surgery for breast cancer|other: no loco-regional treatment,"overall survival|progression free survival|changes in vegf, bfgf, angiostatin and endostatin",tata memorial hospital,Female,"21 Years to 65 Years   (Adult, Older Adult)",Not Applicable,350.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH/153/2004,February 2005,"July 30, 2020","July 30, 2020","September 19, 2005",,"October 8, 2020","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00193778,breast
21,22,NCT01935466,"risk of bladder cancer in type 2 diabetes patients with pioglitazone therapy ""probe""",PROBE-PIO,Completed,No Results Available,bladder cancer,drug: pioglitazone,bladder cancer rate,postgraduate institute of medical education and research,Male,"50 Years and older   (Adult, Older Adult)",,6107.0,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,PROBEPIO,July 2013,October 2021,October 2021,"September 5, 2013",,"January 25, 2022","['deptt of endocrinology, chandigarh, india']",,https://ClinicalTrials.gov/show/NCT01935466,bladder
22,23,NCT00772824,study of the effect of glutamine supplementation on chemotherapy induced toxicities in breast cancer patients,,Completed,No Results Available,breast cancer,dietary supplement: glutamine|dietary supplement: iv glutamine,reduction in toxicity|serum level of creatinine kinase and ldh,banaras hindu university,Female,"18 Years to 85 Years   (Adult, Older Adult)",Phase 4,23.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention,GLU_07,December 2007,December 2009,December 2009,"October 15, 2008",,"July 17, 2018","['sir sunder lal hospital, varanasi, up, india']",,https://ClinicalTrials.gov/show/NCT00772824,breast
23,24,NCT04072718,simultaneous integrated boost with volumetric arc radiotherapy in patients with breast cancer,SIBART-BC,Completed,No Results Available,breast cancer,radiation: radiotherapy,acute radiation toxicities|cosmetic score analysis|local control|late toxicity,postgraduate institute of medical education and research,Female,18 Years to 60 Years   (Adult),Phase 2,27.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,INT/IEC/2017/127,"August 10, 2017","March 31, 2020","March 31, 2020","August 28, 2019",,"July 14, 2020","['dr budhi singh yadav, chandigarh , india']",,https://ClinicalTrials.gov/show/NCT04072718,breast
24,25,NCT03936933,pharmacodynamic study goserelin 3.6mg injection administered subcutaneously in premenopausal patients with breast cancer,,Recruiting,No Results Available,breast cancer,drug: goserelin acetate 3.6 mg injection|drug: zoladex® 3.6mg injection,to evaluate and compare the pharmacodynamics,eurofarma laboratorios s.a.,Female,18 Years to 59 Years   (Adult),Phase 3,68.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EF 160,"January 1, 2021","December 1, 2022","December 1, 2022","May 3, 2019",,"January 27, 2022","['mahatma gandhi cancer hospital & research institute, visakhapatnam, andhra pradesh, india']",,https://ClinicalTrials.gov/show/NCT03936933,breast
